MongoDB shell version: 3.2.19
connecting to: 35.165.232.18:38018/myPat-v2Cms-Staging
quesId,QuesStatus,testId,testName,testStatus
Q-3613,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3633,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3654,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3647,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3646,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3655,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3652,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3801,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3653,PUBLISHED,T-374,Part Test -3 (PT3) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3725,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3742,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3724,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3743,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3762,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3727,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3745,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3744,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3775,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3785,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3805,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3780,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3759,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3825,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3800,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3807,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3761,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3779,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3726,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3821,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3806,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3760,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3763,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3802,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3723,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3809,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3797,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3799,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3808,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3782,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3741,PUBLISHED,T-407,Full Test -1 Paper 1,PUBLISHED
Q-3784,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3778,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3866,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3776,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3829,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3781,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3783,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3868,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3804,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3803,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3864,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3832,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3820,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3883,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3831,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3918,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3777,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3828,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3823,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3827,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3826,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3798,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3774,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3882,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3786,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3847,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3850,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3822,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3824,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3830,PUBLISHED,T-406,T-406-DRAFT,Full Test -1 Paper 2,Full Test -1 Paper 2,PUBLISHED,DRAFT
Q-3900,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3901,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3849,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3885,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3902,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3848,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3846,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3865,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3886,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3903,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3904,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3884,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3940,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3919,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3958,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-3955,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-3937,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3867,PUBLISHED,T-410,Full Test-2 Paper 1,PUBLISHED
Q-3921,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3922,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3974,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-3939,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3973,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-3990,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-3956,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-3938,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3975,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-3936,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-3972,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-3920,PUBLISHED,T-413,Full Test -3 Paper 1,PUBLISHED
Q-4007,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-3976,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-4009,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-3994,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-3992,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-3957,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-4040,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4030,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4005,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4037,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4006,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4010,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4035,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4012,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-3993,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-4056,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-3954,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-4028,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4013,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4063,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4008,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4100,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4011,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4060,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4054,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4036,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4101,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-3991,PUBLISHED,T-419,Full Test -4 Paper 1,PUBLISHED
Q-4038,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4031,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4014,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4079,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4016,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4062,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4055,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4015,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4039,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4034,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4017,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4029,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4082,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4053,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4080,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4032,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4051,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4059,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4058,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4057,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4121,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4123,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4061,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4122,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4099,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4140,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4078,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4126,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4104,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4103,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4081,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4141,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4125,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4124,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4052,PUBLISHED,T-418,Full Test -4 Paper 2,PUBLISHED
Q-4102,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4083,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4084,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4105,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4142,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4144,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4120,PUBLISHED,T-247,Part Test -2 (PT2) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4161,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4143,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4160,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4176,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4232,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4162,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4194,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4198,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4231,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4159,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4158,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4213,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4177,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4216,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4215,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4179,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4197,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4195,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4234,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4178,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4212,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4196,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4230,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4233,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4214,PUBLISHED,T-238,Part Test -1 (PT1) (Class XI Syllabus)-Paper 1,PUBLISHED
Q-4306,PUBLISHED,T-425,Full Test -6 Paper-1,PUBLISHED
Q-4308,PUBLISHED,T-425,Full Test -6 Paper-1,PUBLISHED
Q-4180,PUBLISHED,T-211,OLTS-2019-JEEA-Diagnostic-Paper I,PUBLISHED
Q-4300,PUBLISHED,T-425,Full Test -6 Paper-1,PUBLISHED
Q-4327,PUBLISHED,T-425,Full Test -6 Paper-1,PUBLISHED
Q-4326,PUBLISHED,T-425,Full Test -6 Paper-1,PUBLISHED
